2 13.1336
4 13.3819
6 13.4217
8 13.4294
10 13.3483
12 13.2369
14 13.153
16 13.0778
18 13.0339
20 12.8662
#22 3.37125
24 12.6646
26 12.5538
28 12.4515
30 12.331
